COUNTY,lahunv1share,lahunv10share,lasnap1share,lasnap10share
36077,0.5429678233084284,0.23168482805075044,0.7584093330604256,0.7584093330604256
36079,0.5967528933846206,,0.6675634465300547,0.6675634465300547
36081,0.10722814456921356,,0.09461013151388348,0.09461013151388348
36083,0.44582157203255324,0.10401134720058133,0.5052290923310264,0.5052290923310264
36085,0.014273995077932733,,0.020535482193917338,0.020535482193917338
36087,0.3099686937722988,,0.30673764206195847,0.30673764206195847
36089,0.44788422201136757,0.25366101003102093,0.5414357602332194,0.5414357602332194
36091,0.6401537160878231,0.013918983578432234,0.6388144697214785,0.6388144697214785
36093,0.5312030106489811,0.0020031799143483122,0.5618251843724499,0.5618251843724499
36095,0.6362845615239919,0.034810402533236105,0.8680912845403365,0.8680912845403365
36097,0.7195077580372048,0.01122131937472878,0.8403636289511697,0.8403636289511697
36099,0.49590695998649237,,0.5278840426492604,0.5278840426492604
36101,0.5130487312811349,0.24506411132363495,0.6060946118042112,0.6060946118042112
36103,0.274524718040124,,0.26754731860708114,0.26754731860708114
36105,0.49505517951319505,0.05466614093424144,0.6116513043001511,0.6116513043001511
36107,0.3682926627926968,0.0034647437666294164,0.5249374681980006,0.5249374681980006
36109,0.46269697155728373,0.015936543671193876,0.650320876127271,0.650320876127271
36111,0.4540398984151027,0.028875244998788845,0.5783103112166978,0.5783103112166978
36113,0.30067851153487946,0.11944927239886853,0.3377089387932878,0.3377089387932878
36115,0.45904831876310936,0.21454395487792605,0.4624570803273566,0.4624570803273566
36117,0.5028430787646654,,0.5332250072145079,0.5332250072145079
36119,0.1894593964363026,,0.21820168990445754,0.21820168990445754
36121,0.5949534948601533,0.02242152466367714,0.6992582373714724,0.6992582373714724
36123,0.42415164492920354,0.0,0.5437072227106055,0.5437072227106055
37001,0.47677788097818047,0.14726436825158404,0.5383167727590986,0.5383167727590986
37003,0.5696658815910218,0.1209707620936757,0.6578930044128495,0.6578930044128495
37005,0.691891891891892,0.06557377049180328,0.7840172786177105,0.7840172786177105
37007,0.7645166800065876,0.0038022813688212928,0.8247131070006031,0.8247131070006031
37009,0.8408998338467244,0.30194767716104876,0.8768849265215498,0.8768849265215498
37011,0.5789692084945007,0.08067044093794747,0.6646480493539563,0.6646480493539563
37013,0.4156925732375853,0.2928503078836398,0.56912655419165,0.56912655419165
37015,0.7919671517858003,0.23981900452488691,0.8042543505529967,0.8042543505529967
37017,0.6386303658447986,0.08735630001394709,0.7041537961106473,0.7041537961106473
37019,0.7356355121467653,0.051255234285214384,0.7684154030899935,0.7684154030899935
37021,0.46186758173087716,0.05220668744389679,0.620279217999518,0.620279217999518
37023,0.5673641119981947,0.06927291172077592,0.7001934073423831,0.7001934073423831
37025,0.27409378877844115,,0.3859018352071604,0.3859018352071604
37027,0.5493940681292089,0.03144138636028585,0.68795633590699,0.68795633590699
37029,0.6095941732325948,0.1218274111675127,0.7183324892810112,0.7183324892810112
37031,0.5613445204327039,0.14673913043478262,0.6443074675281398,0.6443074675281398
37033,0.6811850365057863,0.11462100696731757,0.7039631314026048,0.7039631314026048
37035,0.5673125816147012,0.1445176458492453,0.6567977465038995,0.6567977465038995
37037,0.43222675336813304,0.10890463725045227,0.5661304829543595,0.5661304829543595
37039,1.1235955056179776,0.5333333333333333,1.0148492709544683,1.0148492709544683
37041,0.4336729027064193,0.052130376223277666,0.5545186097849071,0.5545186097849071
37043,0.7491761548198543,0.2157068062827225,0.862080797228889,0.862080797228889
37045,0.5439414713638518,0.15025901454191834,0.6873806598955182,0.6873806598955182
37047,0.6491275586515678,0.00613611996786375,0.7462006486428907,0.7462006486428907
37049,0.3381596940377262,0.011701734083699471,0.43659692893987356,0.43659692893987356
37051,0.41734828330095847,0.08096565437183423,0.4511747481638005,0.4511747481638005
37053,0.692956026599063,0.18650518541575292,0.7705427333113168,0.7705427333113168
37055,0.5873362445414847,0.23636363636363636,0.6082589285714286,0.6082589285714286
37057,0.39233365645326473,0.21008403361344535,0.4882948974342806,0.4882948974342806
37059,0.7195621252128518,0.3518883730900222,0.705706765810421,0.705706765810421
37061,0.7411413200867596,0.17899869357878337,0.8210325384299343,0.8210325384299343
37063,0.27146477074670533,0.15715403991905277,0.35741930051339676,0.35741930051339676
37065,0.4027466208123096,0.024839805315949492,0.5048416402656429,0.5048416402656429
37067,0.4355273041800145,0.43333333333333335,0.5213624904705628,0.5213624904705628
37069,0.774537992981283,0.18600517196995794,0.8249410418011031,0.8249410418011031
37071,0.4964086911249378,,0.5733132243769827,0.5733132243769827
37073,0.9556650246305419,0.08374384236453201,1.0034013605442176,1.0034013605442176
37075,0.6736415336279756,0.00989951495687586,0.8559338579467346,0.8559338579467346
37077,0.7222883796347654,0.155173673000084,0.7583763354137836,0.7583763354137836
37079,0.4969488549365803,0.004594325535092086,0.5961796808815067,0.5961796808815067
37081,0.3232864858955217,0.1409891878060569,0.40118757210919603,0.40118757210919603
37083,0.5859735191056421,0.009141635421926397,0.6200906615510967,0.6200906615510967
37085,0.5101460539258484,0.25534037674823346,0.5521955880843648,0.5521955880843648
37087,0.7677824685089095,0.18794088670673856,0.81416787615676,0.81416787615676
37089,0.5188371645874149,,0.6346199429675538,0.6346199429675538
37091,0.5975175153688629,0.07487341155435245,0.6488966404351749,0.6488966404351749
37093,0.4732555726316338,0.013041469533840565,0.5567248184852922,0.5567248184852922
37095,1.1368140603273567,0.2643129197320496,1.1533878018126789,1.1533878018126789
37097,0.5482263076299818,0.2745715061578518,0.6384027749059022,0.6384027749059022
37099,0.7782058292215674,0.052908325054863606,0.8224024050137796,0.8224024050137796
37101,0.26236806356692277,0.07212822700052735,0.38743896577751297,0.38743896577751297
37103,0.332454737050208,0.012105380168963986,0.5232389037424903,0.5232389037424903
37105,0.5351463150684338,0.25,0.510640958585707,0.510640958585707
37107,0.4367087225765273,0.0015613816434434935,0.5924259610367547,0.5924259610367547
37109,0.6583414956082657,0.1704665031858874,0.7210520848797194,0.7210520848797194
37111,0.6037859989842932,0.017332405848622813,0.7105029444341723,0.7105029444341723
37113,0.650966139944102,0.007498919626848036,0.7736840471451897,0.7736840471451897
37115,0.7816021152413133,0.15381946827796397,0.9202291739830564,0.9202291739830564
37117,0.5420615730246662,0.071008918723628,0.690165318150426,0.690165318150426
37119,0.19550570419632637,,0.2507263406075443,0.2507263406075443
