single_parent_household,youth_not_in_school,sex_pay_inequity,race_pay_inequity,house_pay_inequity,snap_household,snap_vulnerabe_household,no_internet_household,no_broadband_internet_household,no_smartphone_household,no_car_household,no_plumbing_household,no_kitchen_household,over_60min_commute,wfh,public_transit_commute,walking_commute,biking_commute,rural_household,working_class_workers,unemployment_rate,renter_occupied,median_income,COUNTY
0.3194291986827662,0.029216467463479414,1.0698080279232112,0.9453355480080323,1.6816320792844717,0.1904887020493957,0.14477141355754072,0.12454019968470835,0.13688912243825535,0.1081187598528639,0.08066211245401997,0.0,0.001182343667892801,3.1,4.7,0.6,2.0,0.1,0.4878581835842642,0.6849664429530201,4.4,-71.7,95700,17045
0.41480446927374304,0.1518624641833811,1.2758358662613982,NaN,1.6418010979018625,0.18168111571805504,0.14323407463249152,0.12024123633622315,0.17037316245759515,0.1424802110817942,0.04598567659253675,0.00011307953260459856,0.0018846588767433095,6.5,4.9,0.4,4.6,0.0,1.0,0.6985998526160648,6.1,-78.2,97500,17047
0.2718168812589413,0.08153638814016173,1.1022753390025282,NaN,2.3852480764128416,0.13257305773342837,0.10548823948681398,0.07633642195295795,0.10228082679971484,0.10042765502494655,0.057804704205274414,1.4255167498218105e-5,0.005274411974340698,4.9,10.9,0.3,2.1,0.1,0.5698054068172914,0.6466600432470341,2.2,-77.1,179800,17049
0.33188908145580587,0.11420059582919563,1.2189651343548746,NaN,2.0082993364032706,0.12665985699693566,0.10150663942798774,0.15526046986721145,0.1811797752808989,0.15960163432073549,0.05669050051072523,3.8304392236976505e-5,0.007022471910112359,7.1,6.7,0.3,1.8,0.0,0.6684788764299467,0.6901986901986902,3.4,-79.2,114700,17051
0.3631346578366446,0.1534954407294833,1.2006964229186452,NaN,1.943009443585272,0.17545391061452514,0.12884078212290503,0.1138268156424581,0.1462988826815642,0.12342877094972071,0.09113128491620112,0.0001222067039106145,0.008729050279329608,6.9,8.8,0.0,2.7,0.4,0.6750199521149242,0.6608878807517822,5.4,-73.1,118100,17053
0.36395430170202847,0.06900389538119088,1.0652072659524918,3.2950367647058822,1.64014138504984,0.23670179789212648,0.18022318660880346,0.12665840049597024,0.1748295102293862,0.13168009919404833,0.06974581525108493,2.4798512089274646e-5,0.013267203967761935,6.6,6.8,0.8,1.5,0.3,0.5753787878787879,0.7153083008916238,6.5,-73.8,87700,17055
0.39103467719199325,0.0632996632996633,1.124188100805404,NaN,1.7486394731903714,0.16076823478636168,0.12228456337217666,0.10868939720903467,0.13926053805207883,0.11991080420083444,0.04891382534887067,0.0,0.00906344410876133,7.8,5.0,0.1,2.4,0.2,0.6324187953327026,0.70043283998883,6.6,-76.9,102500,17057
0.3670212765957447,0.05825242718446602,1.291346153846154,14.69827931172469,1.5505436971405557,0.21803435114503816,0.191793893129771,0.20658396946564886,0.23664122137404575,0.21708015267175573,0.0916030534351145,0.00019083969465648855,0.006202290076335878,10.6,0.9,0.0,0.1,0.0,1.0,0.6897196261682244,7.3,-79.4,84700,17059
0.3919259882253995,0.030181086519114688,1.0630914826498423,2.5729393234830873,1.5481500918394122,0.15019937970757644,0.10943730615861763,0.12893221089942403,0.14355338945502882,0.1333628710677891,0.04009747452370403,6.645990252547629e-5,0.006202924235711121,17.4,7.8,0.2,1.0,0.0,1.0,0.684562511610626,4.2,-75.8,94400,17061
0.28060656649972177,0.01973916108565386,1.1853261680847889,1.248724584103512,2.7852998065764023,0.09226045423530559,0.0762744906911005,0.07110829515547325,0.09596451895896285,0.08568086558144072,0.0411346135100887,1.4621308119699776e-5,0.011355882639633493,9.6,9.7,0.6,0.8,0.1,0.2606498535940304,0.6690743415935103,4.5,-74.8,259200,17063
0.36835891381345925,0.03717472118959108,1.195246179966044,NaN,1.7685305591677503,0.15104477611940298,0.11492537313432835,0.1853731343283582,0.18865671641791049,0.15074626865671636,0.05791044776119403,2.9850746268656717e-5,0.003880597014925373,7.9,3.4,0.4,2.6,0.0,1.0,0.6950437317784257,5.4,-77.3,108800,17065
0.2717920952896589,0.06097560975609756,1.1166706189234052,NaN,1.6665641719451447,0.12375249500998003,0.09647371922821024,0.14357950765136393,0.1832335329341317,0.14557551563539584,0.047638057218895545,1.3306719893546241e-5,0.007850964737192281,5.1,7.9,0.2,2.6,0.0,0.8512064343163539,0.6541882876204597,4.4,-80.3,108400,17067
0.40069686411149824,0.008547008547008548,0.857916102841678,NaN,1.6044090630740968,0.1792452830188679,0.11118598382749326,0.2284366576819407,0.23989218328840967,0.25336927223719674,0.09568733153638814,0.00020215633423180594,0.0026954177897574125,18.8,1.4,1.5,1.7,0.0,1.0,0.6544117647058824,3.3,-79.7,91700,17069
0.384012539184953,0.0594059405940594,1.105403602401601,NaN,1.5475773407868882,0.10405709992486852,0.09616829451540196,0.16416228399699473,0.17355371900826444,0.1882043576258452,0.03606311044327573,0.00030052592036063113,0.028174305033809167,7.0,5.5,0.5,0.9,0.0,0.991659219541257,0.6221248630887185,8.6,-84.5,101600,17071
0.35987207540818045,0.05039566847147022,1.1014492753623188,1.038782580390151,2.07832703970706,0.11944129115048616,0.09037066284980998,0.10774394156260797,0.15290459503479592,0.12107003602981092,0.06475494792951977,1.9742362173634075e-5,0.011549281871575934,5.6,7.5,0.1,2.7,0.1,0.48786637251812165,0.6522180833051134,4.0,-79.4,145300,17073
