ZIP,ALR_VALB,ALR_VALP,ALR_VALA
1001,0.0002539011995828443,2.2883756471375406e-6,0.029740721280022454
1002,0.0002350203719676151,8.480365270861046e-7,0.019587980112600087
1003,0.000233817126947614,7.335444103308823e-7,0.01496811955507418
1004,0.00023147025111797858,7.770122484485883e-7,0.01909201622316505
1005,0.0003061982750779034,1.061312343620315e-6,0.01864772396501268
1007,0.00028322570348213513,8.547554209080696e-7,0.011822959972058941
1008,0.00025364482632940445,2.026533342105204e-6,0.006169576327558961
1010,0.00028738574533971174,1.02153398682687e-6,0.005561843895748625
1011,0.0002479454226006255,2.1475714053217894e-6,0.005230735213403187
1012,0.00031664866137109336,1.2759753123484621e-6,0.004315375606965664
1013,0.00022388353448376817,4.995996612309822e-7,0.0040432908186066015
1014,0.00022459185154256867,5.490687491211664e-7,NaN
1020,0.00022694688956200563,5.711555549509366e-7,0.004180447048211755
1021,0.00022605225844074355,4.973600305634805e-7,0.0036001615579931215
1022,0.00022594365627825948,4.588610508527512e-7,0.0038861360546075473
1026,0.000232082988837927,1.2598605466179963e-6,0.003788482444279124
1027,0.0002280335182212025,8.12694784839799e-7,0.01549958901892973
1028,0.0002428257565411086,4.801458872894104e-7,0.02768573774913836
1030,0.0002357036561831424,6.201393278543089e-7,0.027254120556654392
1031,0.0003190118662827872,7.679098781951952e-7,0.024231752969514637
1032,0.00031664866137109336,1.2759753123484621e-6,0.004315375606965664
1033,0.0002444791909578661,1.0887097140044373e-6,0.015052176279549483
1034,0.0002530937377302377,1.520955710064169e-6,0.012784908906405006
1035,0.0002514276649317711,1.3407100948190871e-6,0.02920977297547148
1036,0.000280126411408817,8.068007581278694e-7,0.021051841206471376
1038,0.0002422574518499837,1.5051723035214799e-6,0.02673987475857437
1039,0.00032623834598213093,1.187560318237755e-6,0.01819747769625094
1040,0.0002205244703883197,4.99396784758715e-7,0.023113287190715447
1041,0.0002273104716339264,5.720653859094074e-7,0.0059178212544587095
1050,0.0002442037168614385,1.5152209659208786e-6,0.0086327054049425
1053,0.0002451819047237694,1.1612941218402382e-6,0.024578791143530204
1054,0.0003721169772429404,7.517726227853236e-7,0.012256694845594034
1056,0.00024970396193074425,5.899927996365107e-7,0.01577649929165291
1057,0.00027804236743262577,6.587120196967157e-7,0.008578197073530618
1060,0.00023006274830911295,8.202487582502637e-7,0.03631594146541356
1061,0.0002220579474046797,7.063381466563254e-7,NaN
1062,0.00025155241042680647,1.2875550915665179e-6,0.03781852916300683
1068,0.00031805568439542453,7.593472150449212e-7,0.006295205360366789
1069,0.0002812650990792447,7.169344067476016e-7,0.007244026745218693
1070,0.00023270071551075857,1.2909225820555132e-6,0.0038002110994188633
1071,0.0002543933419985644,1.2252094681455e-6,0.015281678236359886
1072,0.0003721076038762369,7.518317618182417e-7,0.012043884355501614
1073,0.00023008574947116876,8.493629733897584e-7,0.017080888678578127
1075,0.00022631610373686107,7.517741006019975e-7,0.01937770448783358
1077,0.0002752114266222916,7.844371959265598e-7,0.02670538045335388
1080,0.00028120009560458144,7.374909480667824e-7,0.007725799773948231
1081,0.000284449902656037,1.1982040186947015e-6,0.008497577060073211
1082,0.0003067311370024481,1.0223910495639435e-6,0.0203341447170327
1084,0.00031664866137109336,1.2759753123484621e-6,0.004315375606965664
1085,0.00022840691486555843,1.1424736479131628e-6,0.026721929601916238
1086,0.0002456645511914642,1.8703194853892152e-6,0.03157870203056756
1088,0.0002422574518499837,1.5051723035214799e-6,0.02673987475857437
1089,0.00022603370370762786,6.927899389027948e-7,0.00746538343274742
1090,0.00023753268698470988,7.12207023625682e-7,NaN
1095,0.0002816394034186463,6.83802737763468e-7,0.01987699951265323
1096,0.0003234967475566243,1.2324735986943555e-6,0.004426069214846648
1098,0.00023335467572461847,1.2969480370028322e-6,0.0038026648583509557
1101,0.0002362950042082514,8.15169903905168e-7,NaN
1103,0.00023491662948483296,6.600504756194913e-7,NaN
1104,0.00022691108601951489,5.077136512891002e-7,0.0036908705218915623
1105,0.00022968415792914737,5.159725066911626e-7,0.0036007409469205236
1106,0.00023108499648211015,5.779353131218107e-7,0.03939686283966366
1107,0.00023579067723982275,4.925262547436005e-7,0.004074277947273604
1108,0.00022048278450106102,4.6530026171461884e-7,0.003600664059202661
1109,0.00022388694113585273,4.808359176296412e-7,0.019179690670518498
1116,0.00023108184669812297,4.458376877598644e-7,NaN
1118,0.00022349378582471548,4.972018209578717e-7,0.009904088434520062
1119,0.00022509065894763466,5.307475914103407e-7,0.020334841442352692
1128,0.0002641138132967882,6.182209417598868e-7,0.01928909908725261
1129,0.0002510908572796975,6.462927761561757e-7,0.01790035700669899
1138,0.00022534495939892352,4.5917479687534776e-7,NaN
1139,0.00022360311273117084,4.752887014138581e-7,0.0036001512184027757
1151,0.00022633803249219597,5.465007283016871e-7,0.003600308085799734
1201,0.0002324663547943806,1.8998789012627e-6,0.0027893926738264416
1202,0.00024186096037455556,7.301610906098062e-7,NaN
1220,0.00020026598391560736,1.5628181637409993e-6,0.0025971221934230136
1222,0.0002711662846813054,1.2440264165936278e-6,0.004408852348097666
