ZIP,Total Offenses Rate,Crimes Against Persons Rate,Crimes Against Property Rate,Crimes Against Society Rate
82931,0.04777525443687442,0.015812936327697872,0.02262595676675919,0.009336361342417361
36008,0.3168433451118963,0.10836277974087162,0.11366313309776208,0.09481743227326266
36022,0.3168433451118963,0.10836277974087162,0.11366313309776208,0.09481743227326266
36051,0.3168433451118963,0.10836277974087162,0.11366313309776208,0.09481743227326266
36091,0.30905780609922623,0.10559854346836596,0.13313609467455623,0.07032316795630406
36758,0.3168433451118963,0.10836277974087162,0.11366313309776208,0.09481743227326266
36006,0.30905780609922623,0.10559854346836596,0.13313609467455623,0.07032316795630406
36749,0.3168433451118963,0.10836277974087162,0.11366313309776208,0.09481743227326266
36003,0.3168433451118963,0.10836277974087162,0.11366313309776208,0.09481743227326266
36562,0.011859086152772933,0.0050181711803953775,0.0038142601572960385,0.003026654815081517
36550,0.011859086152772933,0.0050181711803953775,0.0038142601572960385,0.003026654815081517
36579,0.011859086152772933,0.0050181711803953775,0.0038142601572960385,0.003026654815081517
36480,0.011859086152772933,0.0050181711803953775,0.0038142601572960385,0.003026654815081517
36578,0.011859086152772933,0.0050181711803953775,0.0038142601572960385,0.003026654815081517
36559,0.011859086152772933,0.0050181711803953775,0.0038142601572960385,0.003026654815081517
36574,0.011859086152772933,0.0050181711803953775,0.0038142601572960385,0.003026654815081517
36564,0.011859086152772933,0.0050181711803953775,0.0038142601572960385,0.003026654815081517
36511,0.011859086152772933,0.0050181711803953775,0.0038142601572960385,0.003026654815081517
36555,0.011859086152772933,0.0050181711803953775,0.0038142601572960385,0.003026654815081517
36549,0.011859086152772933,0.0050181711803953775,0.0038142601572960385,0.003026654815081517
36053,0.009506286415210058,0.003986507206378411,0.005008688541347235,0.0005110906674844118
36017,0.009506286415210058,0.003986507206378411,0.005008688541347235,0.0005110906674844118
36374,0.009506286415210058,0.003986507206378411,0.005008688541347235,0.0005110906674844118
36317,0.009506286415210058,0.003986507206378411,0.005008688541347235,0.0005110906674844118
36311,0.009506286415210058,0.003986507206378411,0.005008688541347235,0.0005110906674844118
35184,0.02787725761986963,0.013461984386674567,0.008257542575941051,0.006157730657254013
35111,0.027105359714115693,0.008482180022014818,0.016748528491306612,0.00187465120079426
36792,0.30905780609922623,0.10559854346836596,0.13313609467455623,0.07032316795630406
36793,0.30905780609922623,0.10559854346836596,0.13313609467455623,0.07032316795630406
35456,0.02787725761986963,0.013461984386674567,0.008257542575941051,0.006157730657254013
35133,0.08209923251540374,0.03696897632688358,0.036428494216841426,0.008701761971678738
35952,0.011138070038018455,0.003381540989244025,0.007011443746059645,0.0007450853027147851
35957,0.011138070038018455,0.003381540989244025,0.007011443746059645,0.0007450853027147851
35980,0.08209923251540374,0.03696897632688358,0.036428494216841426,0.008701761971678738
35063,0.0,0.0,0.0,0.0
35172,0.08209923251540374,0.03696897632688358,0.036428494216841426,0.008701761971678738
35126,0.08209923251540374,0.03696897632688358,0.036428494216841426,0.008701761971678738
35097,0.08209923251540374,0.03696897632688358,0.036428494216841426,0.008701761971678738
36005,0.019532746074301034,0.008330141708157794,0.009766373037150517,0.001436231328992723
36029,0.006614563476934807,0.002168318719024018,0.003054708349218452,0.001391536408692337
36052,0.006614563476934807,0.002168318719024018,0.003054708349218452,0.001391536408692337
36030,0.013718765311121999,0.005062877674342643,0.008002613098154499,0.0006532745386248571
36456,0.006392593409015761,0.0020390168632205444,0.0021492339909621955,0.002204342554833021
