ZIP,lahunv1share,lahunv10share,lasnap1share,lasnap10share
1001,0.5258004794935679,,0.6431633572665173,0.6431633572665173
1002,0.6228931335038543,0.0,0.6333375705312044,0.6333375705312044
1003,0.7461017308692627,,0.6923398974246546,0.6923398974246546
1004,0.6554809843400448,,0.6064814814814814,0.6064814814814814
1005,0.58045638934506,,0.8293249333685603,0.8293249333685603
1008,1.0454545454545454,0.7727272727272727,1.0344827586206897,1.0344827586206897
1010,0.9694377969591859,,1.002699667064662,1.002699667064662
1011,0.953125,0.9062499999999999,0.9615384615384615,0.9615384615384615
1013,0.20490804356476705,,0.18517857550292322,0.18517857550292322
1014,,,,
1020,0.1747038612181236,,0.13742595218632486,0.13742595218632486
1021,0.0,,0.0,0.0
1022,0.04714560877422638,,0.09808776930715744,0.09808776930715744
1026,0.9520890280306303,0.8964684972194389,0.961782880928304,0.961782880928304
1027,0.3933174146814116,,0.32983050504667977,0.32983050504667977
1028,0.424861461080516,,0.4303350916648879,0.4303350916648879
1030,0.5350445240552665,,0.4663471252538025,0.4663471252538025
1031,0.9421487603305786,,0.8979591836734694,0.8979591836734694
1033,0.9132850425641487,,0.937729313836328,0.937729313836328
1035,0.5844155844155844,,0.6249999999999999,0.6249999999999999
1036,0.4842105263157895,,0.6808510638297872,0.6808510638297872
1038,0.9586776859504132,,0.9534883720930234,0.9534883720930234
1039,1.165244503884651,,1.0068412907384996,1.0068412907384996
1040,0.14654541198575244,,0.13044260023081947,0.13044260023081947
1041,0.0,,0.0,0.0
1050,1.1314925563048734,0.09698434915383637,0.9845158883154032,0.9845158883154032
1053,0.8415841584158417,,0.606060606060606,0.606060606060606
1054,0.9172681597762432,0.0,0.930591132122386,0.930591132122386
1056,0.27901785714285715,,0.2582025677603424,0.2582025677603424
1057,0.46509266883200967,,0.6467993873280746,0.6467993873280746
1060,0.0625081771321814,,0.07708538982876395,0.07708538982876395
1061,,,,
1062,0.8206174242969311,,0.8904524884050332,0.8904524884050332
1068,0.9985414156820217,,1.0187884778338003,1.0187884778338003
1069,0.5448871431846203,,0.6671168841986999,0.6671168841986999
1070,0.9531482178441384,0.9037567248979116,0.9619033537753333,0.9619033537753333
1072,0.9166666666666666,0.0,0.9305555555555556,0.9305555555555556
1073,0.8065050593136338,,0.6662250591889661,0.6662250591889661
1075,0.7656023423170865,,0.7058613634945108,0.7058613634945108
1077,1.0555555555555556,,0.8810408921933085,0.8810408921933085
1080,0.8764919437016252,,0.8693990738097387,0.8693990738097387
1081,0.8709677419354839,,0.9553072625698323,0.9553072625698323
1082,0.3980651831793971,,0.44834522579248925,0.44834522579248925
1085,0.4270429481319138,,0.5032523402671906,0.5032523402671906
1086,0.21176470588235294,,0.4784688995215311,0.4784688995215311
1088,0.9586776859504134,,0.9534883720930233,0.9534883720930233
1089,0.2898998045855123,,0.426106185085901,0.426106185085901
1090,,,,
1095,0.6512393730881341,,0.7212166795536988,0.7212166795536988
1096,1.1241394886972098,0.0,1.0140224038230605,1.0140224038230605
1098,0.953125,0.9062499999999999,0.9615384615384615,0.9615384615384615
1101,,,,
1103,,,,
1104,0.04950954029748889,,0.06785306662016043,0.06785306662016043
1105,0.0,,0.0,0.0
1106,0.07246376811594203,,0.16346153846153846,0.16346153846153846
1107,,,,
1108,0.019503524993172136,,0.03825516344897853,0.03825516344897853
1109,0.05687458762219327,,0.10750235604354684,0.10750235604354684
1116,,,,
1118,0.14997730632786088,,0.25294634351686146,0.25294634351686146
1119,0.0037786726895602525,,0.0036885495104652735,0.0036885495104652735
1128,0.16857403325416243,,0.09919108842399407,0.09919108842399407
1129,0.03769953891866874,,0.05471642916271671,0.05471642916271671
1138,,,,
1139,0.06753246753246754,,0.06930693069306931,0.06930693069306931
1151,0.070195376133361,,0.09361482288219607,0.09361482288219607
1201,0.3595145641470361,,0.42343783808351965,0.42343783808351965
1202,,,,
1220,0.2716049382716049,,0.27297297297297296,0.27297297297297296
1222,1.0454545454545454,,1.03125,1.03125
1223,1.0007864219615341,0.0021389974797118285,0.9516970880820756,0.9516970880820756
1224,NaN,,0.9135802469135803,0.9135802469135803
