COUNTY,single_parent_household,youth_not_in_school,sex_pay_inequity,race_pay_inequity,snap_household,snap_vulnerabe_household,no_internet_household,no_smartphone_household,no_car_household,no_plumbing_household,over_60min_commute,wfh_inv,biking_commute_inv,working_class_workers,unemployment_rate,renter_occupied,median_income_inv,Crimes Against Persons Rate,Crimes Against Property Rate,Crimes Against Society Rate,ALR_VALB,ALR_VALP,lahunv1share,lasnap1share
35005,0.8250466128029832,0.7351569785514455,0.32546583850931676,0.019434628975265017,0.9161490683229814,0.9049689440993789,0.7642857142857142,0.7307453416149068,0.5493788819875777,0.5183229813664596,0.30434782608695654,0.7827168169101647,0.4107744107744108,0.718944099378882,0.7009316770186336,0.7490683229813665,0.6696734059097978,0.8350442477876107,0.7642477876106195,0.7546902654867257,0.11896605418872626,0.21426346932419807,0.218840115347645,0.3280999679589875
35006,0.9577377252952144,0.7432390425862605,0.3922360248447205,NaN,0.9232919254658385,0.9301242236024845,0.9453416149068323,0.762111801242236,0.6701863354037267,0.9313664596273292,0.717391304347826,0.3428660242461921,1.0,0.8074534161490683,0.925776397515528,0.6807453416149069,0.7894245723172628,NaN,NaN,NaN,0.049828713796325134,0.37309249454998444,0.8202499198974688,0.6709388016661326
35007,0.9114356743318831,0.7466583773702207,0.4062111801242236,NaN,0.9248447204968944,0.882919254658385,0.7608695652173914,0.8440993788819876,0.8062111801242235,0.7614906832298136,0.39937888198757765,0.13242151072427727,1.0,0.6419254658385093,0.27422360248447203,0.6130434782608696,0.5586314152410575,0.23575221238938054,0.21380530973451328,0.1486725663716814,0.844908128308938,0.6082217377763937,0.9561038128804871,0.8478051906440244
35009,0.5450590428837787,0.8604289710910786,0.9571428571428572,0.19037102473498232,0.893167701863354,0.8512422360248447,0.4111801242236025,0.33944099378881987,0.41801242236024844,0.5031055900621118,0.06677018633540373,0.9300590612371775,0.2356902356902357,0.7490683229813665,0.8984472049689441,0.9133540372670808,0.5601866251944012,0.6293805309734514,0.6753982300884955,0.18973451327433627,0.4416069760199315,0.25132357521021487,0.3364306312079462,0.2531239987183595
35011,0.9894344313238036,0.0,0.9981366459627329,NaN,0.9164596273291925,0.8739130434782608,0.9391304347826087,0.9959627329192546,0.34596273291925467,0.9900621118012423,0.009627329192546583,0.9571028908921355,1.0,0.9872670807453416,0.9732919254658385,0.7350931677018634,0.576049766718507,0.4038938053097345,0.27893805309734515,0.05203539823008849,0.6776705076300218,0.1233260666459047,0.8760012816404998,0.7705863505286767
35013,0.8716594157862027,0.5819086105066833,0.45,0.5203180212014135,0.9177018633540373,0.8990683229813664,0.3139751552795031,0.24285714285714285,0.5524844720496894,0.36149068322981365,0.3832298136645963,0.3885607709045695,0.10549943883277217,0.2745341614906832,0.8475155279503106,0.8354037267080745,0.36796267496111973,0.6176991150442478,0.7968141592920354,0.22123893805309736,0.05543444409841171,0.003737153534724385,0.45978852931752645,0.35213072733098366
35015,0.5220633934120572,0.6254274168479951,0.9518633540372671,0.3030035335689046,0.5624223602484472,0.5037267080745341,0.4052795031055901,0.3875776397515528,0.3661490683229814,0.6642857142857143,0.5440993788819876,0.6655268884053466,0.5398428731762065,0.38633540372670805,0.4453416149068323,0.4767080745341615,0.3856920684292379,0.624424778761062,0.7614159292035398,0.3614159292035398,0.13266895048271565,0.16630333229523514,0.7891701377763537,0.5078500480615188
35017,0.5338719701678061,0.214796394156046,0.08850931677018634,0.012367491166077738,0.8683229813664596,0.8021739130434783,0.5096273291925466,0.584472049689441,0.12546583850931678,0.9003105590062112,0.20217391304347826,0.15355921666148586,1.0,0.2565217391304348,0.9201863354037267,0.5546583850931677,0.5409020217729393,0.0552212389380531,0.036106194690265485,0.0768141592920354,0.7078791653690439,0.310495172843351,0.7308554950336431,0.5889138096763857
35019,0.8657551274083282,0.0,0.9301242236024845,NaN,0.9670807453416149,0.9760869565217392,0.9040372670807454,0.7406832298136646,0.21956521739130436,0.8565217391304348,0.4512422360248447,0.7649984457569163,1.0,0.9695652173913043,0.5270186335403727,0.25869565217391305,0.8712286158631415,0.6123893805309735,0.3784070796460177,0.18123893805309735,0.24384926814076613,0.08315166614761757,0.0067286126241589235,0.5776994553027875
35021,0.014294592914853946,0.0,0.3173913043478261,NaN,0.08136645962732919,0.181055900621118,0.9503105590062112,0.9906832298136646,0.8531055900621118,0.0,0.8891304347826087,0.793285669878769,1.0,0.12173913043478261,0.9791925465838509,0.25869565217391305,0.9626749611197511,0.48460176991150444,0.2651327433628319,0.0,0.3223294923699782,0.09529741513547181,0.7491188721563602,0.5844280679269465
35023,0.8107520198881293,0.0,0.0891304347826087,NaN,0.8540372670807453,0.7900621118012422,0.812111801242236,0.3978260869565217,0.7024844720496894,0.0,0.8316770186335404,0.8038545228473734,1.0,0.632919254658385,0.4012422360248447,0.44503105590062114,0.8301710730948678,0.511504424778761,0.19504424778761062,0.6899115044247788,0.5157271877919651,0.031142946122703206,0.15475809035565524,0.026914450496635694
35025,0.6783716594157863,0.577556729872552,0.9664596273291925,0.7045053003533569,0.7972049689440994,0.7906832298136646,0.5627329192546584,0.2326086956521739,0.3062111801242236,0.4816770186335404,0.8394409937888199,0.8943114703139571,1.0,0.8062111801242235,0.8562111801242236,0.7198757763975155,0.48087091757387246,0.727433628318584,0.8446017699115044,0.4824778761061947,0.6748676424789785,0.9174711927748365,0.08074335148990708,0.0887536046139058
35027,0.8729024238657551,0.9804165371464098,0.018633540372670808,0.883833922261484,0.5198757763975155,0.4642857142857143,0.3546583850931677,0.2543478260869565,0.3385093167701863,0.6937888198757765,0.48012422360248447,0.16195212931302455,0.5398428731762065,0.33322981366459625,0.7139751552795031,0.20434782608695654,0.34463452566096425,0.04424778761061947,0.02584070796460177,0.016283185840707964,0.9261912176891934,0.43475552787293675,0.9420057673822493,0.8958667093880167
35028,0.0435052827843381,0.0,0.7736024844720497,NaN,0.03633540372670808,0.03695652173913044,0.0034161490683229812,0.009006211180124223,0.02360248447204969,0.481055900621118,0.009627329192546583,0.11345974510413429,0.07800224466891134,0.00031055900621118014,0.09378881987577639,0.48726708074534164,0.045723172628304824,0.9553982300884956,0.9794690265486725,0.9097345132743363,0.3871068203052009,0.08564310183743382,0.7452739506568408,0.8260173021467478
